Comentarios,Categoria
"Nadie 
Absolutamente nadie 
Tú amigo que siempre dice que va ir piola y termina hecho mierda: 16:49",comida
"Profe!!! Echo de menos la sección Indoor. Aprovechando que estamos todos, o la gran mayoría en cuarentena, sería bueno que se mandara un capítulo de esos. Saludos!!!",comida
Que técnica profe! felicitaciones por el video.,comida
Es bueno ayudar a otro yotuver salud,comida
Idolo profesor desde argentina muchos saludos soy nico de la capital nunca dejes de hacer resetas q estan muy buenas,comida
Profe y el asado de 1 hora de el míster espumita para cuándo??,comida
"Tremenda pinta me e tirado todo el vídeo babeando
Saludos desde España",comida
Saludos profe desde Panamá ,comida
7:07 Le gusta dejarla bien firme y Bonita profe?,comida
"Y si no tengo soplete, sirve un desodorante sin aroma? Jajaja
Un abrazo profesor!!",comida
"Me interesa mucho hacer esta receta. Quisiera saber dónde puedo pedir este corte, sobre todo por acá en el norte.",comida
"Un abrazo Profe, que videos más entretenidos con ese encantador estilo sureño y en ese lugar precioso que tuve la suerte de conocer. Ya he puesto en práctica muchas de sus ""enseñanzas""  y experiencias. Una de las que más me gustó es eso de salar antes la carne y dejarla reposar, creo que es mejor eso que echarle la sal al final ya que esta no se adhiere tan bien rebotanto en la costra. Muchos éxito y felicitaciones!",comida
Profe querido con mi. Hijo menor haremos un video. Me entusiasme mierda!!! Super rico y super entrete.,comida
"un cerdo bien jugo y cocido y jugoso 

y voh jajajajaja, ni un respeto profe",comida
El cardiólogo se soba las manos van a terminar con el colesterol a la csm puta que grande profesor kloker!!!,comida
"Todo perfecto, mis felicitaciones, saludos a Mister wagyu, me atrevería a decir que hasta  el termómetro quedó bien cocido.",comida
Especial 700? Te estás adelantando compadre!!!!,comida
soy de Argentina puedo participar ?????,comida
Profe seria bueno retribuir a sus seguidores regalando algunos de sus productos y,comida
Muy buenos videos desde que empezaste veo tus vídeos felicitaciones por llegar tan lejos,comida
Profe... A la parrilla igual se podria hacer?,comida
Me suenan mucho las tripas !!!,comida
La cerrada de ojos de rod al momento de probar lo dice todo!!,comida
11:55 jajaj wn cagao,comida
Te sigo felicitando se ve exquisito ,comida
"Minuto 10:09 cuando el cerdo este bien cocido.

Camara: y vo ",comida
"Profe, 2 dudas. 
1. Por que el fuego a un lado si lo hizo con el rosticero? Lo entiendo al fuego indirecto,  pero no con el rosticero.
2. La firme si, ya invertí en mi master touch y le he sacado el jugo, extraordinaria compra. Vale la pena el rosticero por $189.000??? Igual caro... He preparado todo a fuego indirecto y ha quedado increíble,  valdrá la pena la inversión?
Abrazo profe!!!",comida
El pastisal del año ,comida
Que asco ese Wagyu de verdad,comida
"Lo que se perdió mr waju, como siempre un muy buen asado saludos profe",comida
"Grande ese profe, me dejas salivando siempre. Saludos desde España!",comida
"Creo que tendré que des-suscribirme... Cada vez que veo vídeos del profe, me cago de hambre xD en cualquier momento quedo como Mr. Wagyu jajajaja",comida
"Hola Profe un video bueno que podría hacer el asado en caja china, muchos saludos y muy buenos sus vídeos",comida
"Como un consejo , era mejor bañarlo en grasa o aceite caliente  me refiero a remplazarlo por el soplete , se logra un mejor crocante  y textura para el gusto y la vista 
Salu2",comida
Grandee profee una maquina!! Saludos,comida
"La profesora: los del fondo no coman en clase por favor 
*los del fondo: 17:32",comida
No puede ser que envidia aaaaaaaa,comida
"se ve excelente, solo me imagino el sabor, gracias por compartir la receta!!",comida
HOLA PROFESOR QUE LINDAS RECETAS QUE NO ESTA MOSTRANDO PARA PORNER EN PACTICA DE DONDE ESTEMOS. LE MANDO UN SALUDO Y UN ABRAZO A LA DISTANCIA DESDE MI CIUDAD NATAL VENADO TUERTO SANTA FE ARGENTINA.,comida
La wea buena profe ,comida
Se ve muy bueno el asado. Gran capítulo. Solamente faltó Mr Wagyu,comida
El camarógrafo #rod casi se ahoga con el medio trozo que se mando ,comida
"Quisiera leer comentario de italianos o argentinos que he visto videos de ellos haciendo esta maravilla y saben! Su opinión 
Pero la mía es que se ve súper delicioso profe!!!  Genial felicidades profe #elprofesabe ",comida
Felicitaciones por los 700 profe claps claps,comida
Profe tremendo video ..!!! Nada mejor que cocinar y compartir con la familia y amigos.,comida
"Maestro , simplemente extraordunario.",comida
"wena wena, entonces esto es sin sal?",comida
Quedo coqueta la weona,comida
"Un vio uste profe, lo admiro caleta, cuando grande quiero ser como usted",comida
Y déjanos en paz con la recetas italianas.,comida
"Se dice porchetta 
No porceta
Y tu receta es más falsa que los falsos de pintura.",comida
6:11 chancho a los finos pastizales ,comida
"Al profe le gusta hacer sufrir al hambriento con semejante pedazon de carne, ",comida
"Wey, cómo quiera ser tu amigo profeeee",comida
Grandeee profeeee,comida
"Profe no lo dejó reposar, o no es necesario?",comida
Cual de los 2 que aparece es el Rod? El de poleron café o poleron negro? Son iguales!!,comida
"Profesor, no sabe lo mucho que me gusta ver sus vídeos pero mi mamá es vegetariana ",comida
"El Rod lo tenía en un calabozo parece profe, algo de hambre tenía.",comida
3:10 al chileno le gusta el chiste corto xdd,comida
"Notable profe , ahora son las  2:19 am ajajaja y me cago del bajón",comida
"Profe, por favor quita la risa de Mr. Wagyu, tanto que me gustan tus videos y cada vez que suena esa risa solo me dan ganas de quitarlo, por favor!",comida
Consejo para que quede más crocante de forma natural y darle un toque de sabor espectacular los últimos 20 o 30 minutos de cocción embarnizarlo con mantequilla ,comida
"no se para que me castigo mirando tus videos a estas horas, no tengo ni charqui para comer",comida
Meo asao ctm quedo loco,comida
amigoooooooooooo que recetaaaaaaaaaa dios mio !!,comida
Uff q calidad profesor  cuanto sabe,comida
"El camarógrafo parece perro calle, para comer jajaja el coca Mendoza es una alpargata jajajaja",comida
Salúdame wey,comida
Como cagarse de hambre a las 1:30 de la mañana,comida
Riiiiiiquisimo asado se me hizo agua la baba ,comida
si no toy ni hay kon ser yutuher pero kiero participar?? se pueeee??,comida
"Grande profesor, tremenda receta. Raro conseguir un corte así, pero veré como se puede ajustar. También valoro que cuando sopleteó al chanchito, me imaginé como queda el Mr. Wagyu cuando se quema en la playa en verano. El Mr no se quema, se pone crujiente....jajajaja. Saludos académico de las parrillas criollas.",comida
JAJJAJAJA grande profe,comida
"La risa más contagiosa que he escuchado, profe ",comida
Mr Espumita lo mas grande!!!!,comida
se puso cuático con el lanza llamas profe !,comida
"Buen video profe, para sus próximos videos podria enseñar como preparar de diferentes Maneras la pulpa de cerdo, es uno de los cortes mas populares en chile, y es muy bueno.",comida
"las tomas , los cuadros y  por la calidad de lo que preparaste creo que este es tu mejor video.",comida
"Gran idea para utilizar el espiedo profe! Otro finde de experimentos y lo mejor de todo es que resultan. 10 de 10. Saludos! Voy a romper el chanchito  y le voy a comprar el cuchillo profe, promete!",comida
"Profesor, dime encantaría ver una discada mexicana, pero hecha por usted, no si si ya lo ha preparado pero sería fantástico! Por favor ",comida
"Encuentro la raja lograr un canal en donde haces participar a tus cercanos
y que se sienta una aprobación hacia tu trabajo y lo disfruten jajaja
BUEN VIDEO PROFE, SALUDOS AL SURE",comida
"like si te gusta corta y gruesa, comenta si te gusta larga y fina",comida
Esas vienen con el motor las parrillas,comida
sin lugar a duda esa porcheta esta terrible. pero tu mejor asado profe? sin lugar a dudas tu mejor asado por lo menos que yo haya visto es este https://www.youtube.com/watch?v=_xeTOf-spNA&t=3s,comida
Buena soy de Valdivia e mirado todos tus vídeos y e echo asado como tu lo explicas y quedan vacan,comida
cada día mas gourmet maestro. felicidad pura es verlo haciendo algo que lo hace tremendamente feliz.,comida
Buena salió chistoso,comida
Que nivel profe!¡!¡ se pasó esa preparación un manjarsh!¡,comida
Muy bueno profe lo felicito quedo de 10 esa porcheta saludos desde argentina y vamos por ese millon de suscriptores,comida
Tienes un buen canal de parrilleros,comida
Como un arrollado de huaso,comida
Oh!  Csmm,comida
Rod es un kage bunshin del Gato.,comida
Increíble! E impresionante como a ido mejorando la calidad de los vídeos! Grande profe!,comida
"Salud profe,  te quedó muy bien esa pig belly.",comida
Simplemente ESPECTACULAR.!!!!!,comida
"FELICIDADES PROFE,, como siempre subiendo el nivel, ahora a oscar le toca el crossover con este cerdo",comida
consulta profe no le hechó sal por fuera por el lado de la piel?? no es nescesario?,comida
"Profe, lo mejor del día lunes! Tremendo video!",comida
"Me alegro por usted profe 
Nada mejor que sus videos... Vamos por ese millón",comida
"Mi familia: ""Desde cuando te gustan los lunes?""
Yo: ""No lo entenderían....""",comida
Puro canibalismo jaja,comida
"La verdad lo que más me gusta de sus videos profesor es el verlo feliz compartiendo semana a semana, transmite esa alegría y nos llena a muchos. <3",comida
Conocí tu canal gracias al Oscar,comida
Oh My gosh..!!!,comida
"GUGA FODS, LA CAPITAL, LOCOS X EL ASADO, RECETAS DEL SUR (PROF. CLOCKER), SON GRANDES TODOS..

P. D. PROF CLOCKER ES DE LO MEJOR QUE HE VISTO EN SU cANAL BESTIAL",comida
"Que buena producción en el video, me gustó. Tremendo corte.",comida
"Da gusto ver como disfruta Mr. Espumita. Tremendo video profe, otro nivel. Saludos!",comida
Buena profe siempre buenos videos pa cagarme de hambre ️,comida
"Excelente idea del concurso de los videos, pero, con todo respeto, harto cagón el premio. Consígase una parrilla con Weber o algo similar, son 700. 000!!!",comida
falto el cerdo ql.,comida
Me encantan tus videos,comida
Que buena materia prima! me encanto el crujir del cuero. un lujoooooo.,comida
Profe una pregunta no le molesta quedar con las manos pasadas a carne? a mi en lo personal me desagrada y por eso me pongo guantes para sasonar y masajear la carne jajajajaja,comida
se nos hizo agua la boca,comida
Como que de premio un cuchillo no mames profe,comida
"Se ve exquisito, profe. ¿Se podrá hacer el mismo método para pulpita cortada para dejarla abierta e igual de delgada?",comida
"pucha que es malo profe,que salivando,uuuuf  se vei de miedo,buena receta un abrazo",comida
Q seriedad de vídeo...,comida
"pura hambreee que hacee estoooo, buenisiiimo profe!",comida
"Hasta aqui en mi living, llego el olorsito, un manjar",comida
Felicidades Profe  quedo 20/10  Vamos por ese Millon! ,comida
Sheeeesh,comida
18:33 jajajaja wena Rod!!!!,comida
Que crack el profe ,comida
jajjajaj me rei mucho con el ancho y largo ....buenísimo video profesor...te pasaste.,comida
"18:49 ese momento debe ser inmortalizado para un especial de bloopers ""me meti el tremendo pedazo""",comida
"Profesor ud. simplemente es un CRÁ!!! saludos, me dejo con tragedia, quede ultra ultra antojado.",comida
Se ve espectacular,comida
Y yo comiéndome una hamburguesa del supermercado congela y con un poco de tomate xD,comida
"Nadie:
Mi gato botando la bola de pelos: 03:23",comida
Continuación del vídeo: Compramos un duende en dark web que se llama nathan y al parecer es el enano de wifi,videojuegos
Se parece al payaso del dead,videojuegos
Y esa intro tan agresiva?  Grande el yinu xd,videojuegos
"Te sigo desde hace varios años, eres una maquina y a seguir así. Tu ni caso a los tontainas de los haters. Eres un grande Genu!!",videojuegos
"Espectacular la intro, mis dieses a Genu xD",videojuegos
"Haz una serie tipo ""the longing"" para alimentar trolls y payasos ",videojuegos
Prox: compramos unas gafas para chester echas con pirañas!!!,videojuegos
Juega  paydey 2 porfa  vuelve,videojuegos
"Para cuando de nuevo el juego donde eras una tipo investigadora o policía y tenias que cerrar ventanas y cuidarte del doctor y el secuestrador?, estaba buenísimo",videojuegos
Toda la razón podrías haberle dado tu un payaso para que el gafas y tito parker no se gasten 1.500 euros ,videojuegos
"POV: estás buscando los comentarios de los payasos del pozo de Genu
Pd: me encantó la intro ( ´◡‿ゝ◡`)",videojuegos
De dónde sacan tanto dinero,videojuegos
Nashe ,videojuegos
"Hajaja un crack el genu , tremendo inicio , 200 a casa para los que meten dis like y comentan boludeces",videojuegos
"Pero xq se sorprenden si les llegó exactamente lo que pidieron? De hecho hasta les llegó más alto de la cuenta, así que ",videojuegos
SOS un crack amigo me entretienes un montón todos tus vídeos me encantan te quiero mucho SOS mi youtuber favorito el que te insulte no merece nada,videojuegos
Pues m encanta los juegos de teror los videos de reaccion de la dark web ya llebo 5 años q veo su canal,videojuegos
51 payasos en venta se anotaron en este video,videojuegos
Jajajaja ... el buen gennu con sus payasos,videojuegos
Próximamente:compramos la dark web en la dark web,videojuegos
Yo pensé que la comunidad de Genu era unas de las más bonitas de YouTube porque nunca veía insultos y así pero ya veo que no una pena ,videojuegos
"cielos pobre tio genu debe tener su sotano relleno de payasos espero que tenga mas suerte que embry ya que los payasos de genu son insaciables jajajaja

chester para que miardas quieren un pasayo no te alcanzo con el otro? parker este sabado cumplo 28 y quiero que este en mi fiesta. 
hermano que tienes 5 año parker quiero un payaso no me obligues a quitarme las gajas okok cielos odio cuando te compartas asi caray 
bien aqui contrato a tu payaso pero si pasa algo es tu problema okey si gracias parker :D",videojuegos
en la dark web puedes conseguir todo asta una novia tambien como si fuera tinder,videojuegos
"Genu máquina, siempre hay alguien que no le gustará lo que haces y en vez de mirar para otro lado, critican, insultan y menosprecian el trabajo de los demas.

Sinceramente ese tipo de gente no merecen la pena y hay mucha gente que te apoyamos y vemos todos tus videos cierto es que mereces más seguidores de los que tienes por que para mi eres un crack, pero bueno.

Un saludo maquina!!!!",videojuegos
Jajajajajaja cuando dijo que tenía payasos en el posó Jajajajajaja hasta me dio miedo,videojuegos
Ey pachacho!,videojuegos
Usaron la cancion que usa Cienfuegos online en su intro xd,videojuegos
Jajajjaja se mamo genu,videojuegos
"Quién siempre piensa que el gafas es el que siempre sufre? Sufrio de un parásito, un pez pulpo, una chica sacada de la cabeza",videojuegos
Inicio genial gggg,videojuegos
en el minuto 11:22 se ve alguien atras del gafas,videojuegos
"El payaso llega el mismo día
Lo compro alas 11:59
El payaso: XD",videojuegos
jajjaja el payasos,videojuegos
Te amo Genu,videojuegos
Excelente video me encanta estas reaccy tu serie de ark,videojuegos
"Genu te queremos demasiado, no te estreses por esos payasos que huelen a conio",videojuegos
Grandeeee genuuuu,videojuegos
Compramos unas gafas para el gafas en la Dark Web,videojuegos
No sé ustedes pero ya vi este video :v,videojuegos
Que paso con la serie de ark? :(,videojuegos
"Genuine tienes que probar Home Sweet Home Survive, es estilo dbd con la temática del juego de terror tailandes Home Sweet Home que subiste al canal.",videojuegos
Esas indirectas xD jajajaja,videojuegos
"Genu loqueite, grande enserio me encantan tus videos titano <3",videojuegos
Les faltó IT >:c,videojuegos
"En mi opinion, hay veces donde los tipos hacen videos que aburren, tipo no ponen nada curioso o halgo asi, ademas siempre el mismo formato, el gafas quiere halgo estupido, el otro se queja, lo compran, y pasa ""halgo"" es cierto que hay buenos videos y editan que te cagas, pero halgunos son lamentables, se vuelven repetitivos 
Uno bueno es el del parasito ",videojuegos
"Hoy siendo las 12:26 de la noche, tuve un asqueroso día y una asquerosa tarde  llena de problemas y viendo tus vídeos a esta hora realmente me divierto, la paso bien y me ayudan a olvidar momentáneamente todo lo malo que me pasó durante el día, de todo corazón te doy las gracias por tu tan genial contenido, eres una persona muy divertida y buena gracias por hacerme olvidar todos estos malos ratos y sacarme una sonrisa. Espero se haya entendido el mensaje, necesitaba desahogarme u-u (saludos desde chile bro)",videojuegos
Sube el de la novia xD,videojuegos
"Cuando Genu comenzó a hablar de los payasos pensé que iba a decir que le tenía miedo a los payasos, XD.",videojuegos
lol. XD,videojuegos
Genu ya se puede hacer un ejercito de payasos.,videojuegos
Quien en su sano juicio se compra un payaso!! XD bueno hay gente que tiene arañas de mascotas.,videojuegos
"Wtf por alguna razón siempre dicen "" este sitio es re seguro papa ""
Y luego terminan gastando 11000 dolares son el éxito ",videojuegos
God esta clases de videos,videojuegos
Muy buen sarcasmo ,videojuegos
Buen videa sigue asi :),videojuegos
otra vez 7 days to die quedo en el olvido....F,videojuegos
Chester: usar gafas de sol por la noche es mi pasión ,videojuegos
avientame a mi esos tontitos que te dan dislike a tu gran contendio Genu. yo me las rifo con esos payasos a las piñas,videojuegos
Stitches? Si yo te ví morir!!,videojuegos
"Nunca te vayas de youtube, me encanta tu contenido! siempre que veo nuevo video busco botana! por tu culpa estoy gordo JAJA.",videojuegos
"Hace unos años surgió en Estados Unidos en varios estados unas personas que se disfrazaban de payasos y se quedaban frente a las cámaras de seguridad de las casas parados, o haciendo cosas raras, o caminando en bosques cercanos a viviendas, fue muy sonado en ese momento, incluso Dross hizo varios videos, capas que se basaron en eso para hacer estos videos no se, saludos.",videojuegos
0:30 AJAJAJAJ  que grande  GENuINE993  te amooo muchoo crack salu2 maquina me encanto el video!!  :3,videojuegos
GENU eres el mejor del mundo de todos recuerdo cuando te vi y subias mayor mente dead by eres lo maximo,videojuegos
Genu. por favor... necesito verte sufrir en Ark survival,videojuegos
'Hija herida' - Review de 5 estrellas. Calidad!,videojuegos
Like desde los primeros segundos con el pozo de los tontos xD,videojuegos
guapo ,videojuegos
Genu por que ya no subes ARK .,videojuegos
ese  se parece  como el payaso  it :3,videojuegos
"Tranquila genu, tarde o temprano te van a dar un infarto los payasos XD",videojuegos
compramos un sith por la dark web!!! *REACCIONANDO A VIDEO DE TERROR*,videojuegos
Genu me encantan tus videos siempre los veo cuando se estrenan y dejo mi respectivo like me gustatia pedirte que juegues  dark souls es  un consejo y se que te la pasaras bien un saludo y esperare tu siguiente videoreaccion con ancias,videojuegos
"Q buen video :), q traumante el payaso",videojuegos
Buen vídeo Genu y no hagas caso a los haters tu siempre serás un pro y te damos las gracias por todo siempre serás un crack,videojuegos
"El gafas, sin ese men, no hay video jajaja en fin muy divertido titan ",videojuegos
"primera vez que los veo filmar de día, crei que eran vampiros o algo",videojuegos
"Intro 10/10 xd 
Out-tro 10/10 
Pero gracias Tito genu se que los payasos son gratis pero no me van mucho xd",videojuegos
"Ja ja, el gafas me recuerda al parasaurio que se le murió a genu en ark. Descansa en paz amigo :,)

Buen video quejándose del pozo de payasos xd ",videojuegos
XD,videojuegos
Jajajajajaj ese genu al principio xD eres el Boos friend,videojuegos
próximo video: Compramos un enano en la dark web,videojuegos
Quien quiere un payaso en en su casa eso sería ridículo,videojuegos
Rumbo al millón. Te sigo desde hace mucho cuando tenías 300k.. Y poco a poco has crecido.. Sigue así :),videojuegos
¿Genu me regalas un payaso porfis?,videojuegos
"Antes si daban algo de temor e intriga, pero ultimamente van en decadencia, se les estan acabando las ideas y se vuelven un tanto repetitivos sus videos.

Pd: Me encanta que tito genu traiga este tipo de contenidos.",videojuegos
hola soy alex un suscriptor tuyo bro tu cara se parece mucho ala de un artista mira la pelicula killing a gunther  al final cuando hacen una explicacion se ve una mujer que es una de las protagonistas bueno enfin sale un uno llamado david cuando sale la foto de la boda el personaje ese ¨[el esposo] se parece a ti solo que el esta huero t tu estas pelirojo,videojuegos
el chico de lentes los usa hasta en al noche ¿eso no es sospechoso?,videojuegos
El gafas siempre liandola ,videojuegos
Genu para cuando un video setup de tu pozo lleno de payasos?,videojuegos
El gafas y el ojeras,videojuegos
El gafas ligado jajajaja xD ️,videojuegos
El gafas está loquisimo jajajajaja,videojuegos
"Me encanta esta sección de vídeos, ️",videojuegos
La pura maldad el gafas jeje,videojuegos
"Pensando en un pozo real, pero con payasos asesinos...",videojuegos
En la casa de ellos parece que no hay focos por que no se ve nada,videojuegos
No le hagas caso  bro ♡ tu sigue  con estos videos,videojuegos
"Muy buena la del ""pozo de payasos"" un crack el Genu",videojuegos
me encantan tus videos sige asi vas a llegar muy lejos,videojuegos
que falso ajajajajajjajaaj,videojuegos
Me saludas??,videojuegos
Ni caso de los ninis ratas. Eres un crack.,videojuegos
"El weon de las gafas alta emoción viendo las cosas desde la web, ¡ah! pero en persona cambia totalmente xD",videojuegos
Esperaba este video con  ancias bro,videojuegos
"No me pierdo ni 1 video,",videojuegos
12:38¿¡ La primera escena con la luz del día?!,videojuegos
Genu como siempre el mejor youtuber del mundo,videojuegos
"Hola genu evil nun 2 se actualizo descubrirás cómo nació rod  y saldrá ice scream 4 este atento más sobre el pasado de rod y reacciona a los vídeos des keplerians los suben cada sábado,  un saludo",videojuegos
genu me da mas miedo la canción que pones que el video,videojuegos
"jajjajaja deberias de abrir tu negocio de payasos en esa Dark Web Genu, de seguro te haces millonario con estos dos xD",videojuegos
Grande Genu! me encanta ver tus videos por las tardes<3,videojuegos
Que mal cuerpo me dejó el payaso xd,videojuegos
La re vivis genu,videojuegos
Tenemos que buscarle novia al gafas,videojuegos
"Puedo saber por qué este canal no tiene un millón de suscriptores? Esto me molesta, el se merece el millón! °^°",videojuegos
"Poco circo para tanto CLOWN,grande ese Genuuuu loquetee",videojuegos
"Colo, dame un payaso para ponerlo de sirvienta aquí. xd",videojuegos
"En serio que si esos vatos no evolucionan sus videos me van a aburrí.
No es posible que cada día hacen algo o ven algo sobre natural y al otro día parece que no lo vivieron y entran o compran cosas como si fuera la primera vez.
Sigo diciendo que mínimo ya verlos con una actitud de que saben a que se meten o mínimo comprara un bate, algo de seguridad para sus desmadres pues.",videojuegos
Compramos unas nuevas gafas por la dark web,videojuegos
buen video hermano,videojuegos
Genu el mejor  Saluditos,videojuegos
Te queremos buen hombre ,videojuegos
Ah se me olvidaba. Checa el juego : from the darkness... Muy bueno,videojuegos
amigos le cortaron la luz,videojuegos
Ya tengo ambre  GNIuINE993,videojuegos
Me va a dar una fobia a los payasos,videojuegos
"Jajajaka gooosh se acabó la noche polar! Primera vez que veo la luz de día en sus vídeos. 
No sé cómo es que haya alguien que le eche hate al buen Genu, realmente parece ser muy alivianado. Aunque no he visto un mal comentario. 
Sigue adelante compi!",videojuegos
GENu me gustaria que jugaras este autentico juegazo llamado jurassic park the game es el mismo diseñador de the walking dead que trajiste ya ase tiempo a este canal me haria mucha ilucion que lo pruebes y lo traigas a este canal,videojuegos
*Hola Genu eres el mejor en lo que haces️ no te rindas y sigue grabando vídeos *,videojuegos
ese dercargo del genu jajajaj,videojuegos
Por qué siempre el gafas sale perdiendo jajaja,videojuegos
Los payasos normales salen más baratos xd,videojuegos
"oye, no sabes si puedo comprar a alguien que me haga la tarea tambien XD",videojuegos
Próximamente: compramos una oportunidad con ella xdxdxdd....F,videojuegos
vaya que buen video genu me encanto fue terrorifico,videojuegos
De los mejores youtubers que he conocido eres tú genu te quiero nene ️,videojuegos
"Jajaja el pozo de payasos me mori de risa en esa parte jajaja
Por cierto... el payaso del video si me dio escalofrios",videojuegos
"Eres grande tío, no hagas caso de los haters envidiosos",videojuegos
GENu que paso con ark,videojuegos
"0:47 nooo genu aquí todos te queremos los que tiran comentarios absurdos solo están sobrando, de igual manera ganas tu en que comenten  jajaj animo broooo",videojuegos
Pachacho Me Da Miedo,videojuegos
Q.E.P.D Dead by Daylight Y Ark ,videojuegos
Genu hay un video en el canal de Luxury dark donde el gafas sale sin ellas. No recuerdo en cual era. Pero eso sí que es impactante xD,videojuegos
"Ánimo Genu, todo se nos crítica. Mientras hagas tu trabajo bien, con eso basta.",videojuegos
"En cuanto vi la miniatura, me ralle xD",videojuegos
buen video,videojuegos
Juega hello guesh,videojuegos
Tranquilo Genu Amamos Tus Vídeos Sigue Así Siempre Bro ,videojuegos
jsjsjs me encantó la referencia del principio,videojuegos
"TE AMO!!! GENU ERES EL MEJOR  
GRANDE YINUAINE",videojuegos
yo quiero mi payaso xD,videojuegos
Esos payasos del principio (los haters) en el pozo habría que ahogarlos,videojuegos
Hola,videojuegos
"Hermoso  VÍDEO amigo realmente me gustó mucho, espero tu próximo video con muchas ganas, Podrías jugar a slenderman me parece un super juego un abrazo ️",videojuegos
Buen video genu lo estaba esperando ,videojuegos
SOS UN CAPO,videojuegos
AMIGO EL GAFAS QUE TIENE CON COMPRAR ESTUPIDESES ,videojuegos
"Típica pedido por internet, amo tus vídeos, Genu.",videojuegos
16 clowns se metieron en este video :v,videojuegos
La cara del gafas,videojuegos
amo como tira a sus haters,videojuegos
No lo sé pero creo que el gafas siempre se lleva las cosas muy creepys genial ya tengo con que asustar XD,videojuegos
Mauro es gente que no carbura bien su cerebro es gente que no valoran tu excelente trabajo es gente que puro freefire un fuerte abrazo y saludos desde México,videojuegos
Genu tu no les agas caso a los pallasos espero no te moledte lo que diga pero recuerda que aserle cado a un pendejo es engrandecerlo hay que ignorarlos tu eres un crack me gudtan mucho tus videos sigue asi eres muy grande y muchas gracias por entretenernos a todos eres uno de los mejores,videojuegos
Genu el mejor,videojuegos
Pausa + traducir = ABURRIDO,videojuegos
Jajajaja... Genu como te has puesto a hacer amigos en un momento nada más empezar el video . Un saludo crack,videojuegos
:3,videojuegos
Es hora de gafas jajajajj,videojuegos
Me encanta este tipo de videos en Este Canal  saluditos,videojuegos
esto ya lo has subido antes,videojuegos
Hola me puedes mandar un saludo ?,videojuegos
"Soy yo o el gafas se parece al niño pesado de you tube 

Pd alimentaaame  na metira yo soy el que le da like y disfruta el video",videojuegos
Like por la intro que crack,videojuegos
"11:02 no me suena a Vidrio, aunque seguramente lo es",videojuegos
Proximamente: Compramos un rayo laser en la Dark Web,videojuegos
¿Por qué no prenden las luces? que alguien me diga porfavor ya varias veces me enojo por eso :v,videojuegos
El de las gafas facheras que le ocurrirá esta vez?,videojuegos
jajja compraron a la feminista de la esquina,videojuegos
¿Genu viste al gato blanco en la parte 12 con 45 derecha abajo?,videojuegos
Jsjs,videojuegos
"Siii new video de reation!! Pd: obviamente que no serán payasos amigables;-; y todavía el gafas con todo lo que paso, sigue emocionado con todo y después se caga de sustos aaaa",videojuegos
Me encanta que subas videos reaccionando a este canal grande genu como siempre ️,videojuegos
Amén por los pibes del pozo ,videojuegos
"Genu buen video, solo te quiero decir que reacciones a mastercracksam, es un canal muy interesante tanto a temática terror como misterio.",videojuegos
Algunos le temen a los payasos le vanten la mano,videojuegos
Ahora no pude llegar temprano :((,videojuegos
"No entiendo que se les pasa por la cabeza a estos tíos para que se les ocurra comprar a personas o animales en la Dark Web (estoy conciente de que los vídeos son falsos, lo digo porque luego llega el típico tonto diciéndome que deje de invéntarte cosas y que no se que), al final se van a terminar armando una fauna y un circo con tanto payaso y criatura que compran en la Dark Web y se les escapa.

9:59 De nuevo la criatura del bosque, supongo, a, no, era otra payaso, menuda decepción.

12:45 Pues quien no se iba querer ligar al gafas ( ͡° ͜ʖ ͡°).

0:50 Lo más probable es que ya se hayan comido entre sí xd.",videojuegos
en la realidad si hubo un payaso asesino John Wayne Gacy alias Pogo el payaso .... asesino a mas de 30 niños casi todos los enterro en su garaje.........,videojuegos
Jajaja no se porque los videos del gafas y el ojeras son mis favoritos,videojuegos
Me estoy volviendo adicto a tus vídeos !!!!,videojuegos
Veamos q pasa gafas,videojuegos
Échale un bidón de gasolina y un cerillazo al pozo ,videojuegos
El gafas.,videojuegos
"Grande, te admiro",videojuegos
Hm.. Whenisimo xdxd,videojuegos
Ya me lo vi completo,videojuegos
No es la lima ni el limón es este canal que necesita otro millón ,videojuegos
"Como se llama : Chester.
Genu : el gafas. ",videojuegos
"Yo he entrado en la dark web y esas páginas no las he encontrado, hay peores, pero en lo que a mí concierne estos tíos, son un par de payasos buscando algo de fama.",videojuegos
El genu se nota q no le da  miedo estas cosas,videojuegos
"Soi tu gran fan bro
""Saludos"" bro",videojuegos
Ay genu jajaja,videojuegos
La cara del gafas al principio ,videojuegos
Proximo video Compramos Friday the 13th en la dark web ,videojuegos
genu juega call of duty modern warfare 2019,videojuegos
Hahaha les regalaba unos cuantos hahaha,videojuegos
No esperaba ese inicio XD,videojuegos
genu nunca me pierdo tus videos eres el mejor crack !,videojuegos
"Consejo del día,no confíes en los payasos",videojuegos
El payaso es lindo xd,videojuegos
Que miedo me dió el payaso ese ahhh,videojuegos
"A mi los payasos la verdad no me gustan, y pues en ese canal como siempre el gafas liandola con el otro. Jajajajajaja",videojuegos
Loqueteeee,videojuegos
Las flipantes aventuras de los cazafantasmas  Gafas y Paco,videojuegos
Jajajajaajajaja esos tipos jajajaa falta que saquen! COMPRAMOS CONDONE$ EN LA DEEP WEB! ,videojuegos
El gafas está idoo jsksjsj QUE PIOLA LLEGAR ENTRE LOS PRIMEROS ,videojuegos
